location,horizon,reference_date,target_end_date,target,output_type,output_type_id,value,model
ab,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,5,AI4Casting_Hub-Flatline
ab,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,5,AI4Casting_Hub-Flatline
ab,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,5,AI4Casting_Hub-Flatline
ab,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,6,AI4Casting_Hub-Flatline
ab,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,6,AI4Casting_Hub-Flatline
ab,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,6,AI4Casting_Hub-Flatline
ab,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,6,AI4Casting_Hub-Flatline
atlantic,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,6,AI4Casting_Hub-Flatline
atlantic,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,6,AI4Casting_Hub-Flatline
atlantic,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,6,AI4Casting_Hub-Flatline
atlantic,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,7,AI4Casting_Hub-Flatline
atlantic,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,7,AI4Casting_Hub-Flatline
atlantic,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,7,AI4Casting_Hub-Flatline
atlantic,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,7,AI4Casting_Hub-Flatline
bc,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,6,AI4Casting_Hub-Flatline
bc,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,6,AI4Casting_Hub-Flatline
bc,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,6,AI4Casting_Hub-Flatline
bc,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,7,AI4Casting_Hub-Flatline
bc,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,7,AI4Casting_Hub-Flatline
bc,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,7,AI4Casting_Hub-Flatline
bc,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,7,AI4Casting_Hub-Flatline
ca,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,6,AI4Casting_Hub-Flatline
ca,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,6,AI4Casting_Hub-Flatline
ca,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,6,AI4Casting_Hub-Flatline
ca,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,6,AI4Casting_Hub-Flatline
ca,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,7,AI4Casting_Hub-Flatline
ca,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,7,AI4Casting_Hub-Flatline
ca,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,7,AI4Casting_Hub-Flatline
mb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,4,AI4Casting_Hub-Flatline
mb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,4,AI4Casting_Hub-Flatline
mb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,4,AI4Casting_Hub-Flatline
mb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,5,AI4Casting_Hub-Flatline
mb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,5,AI4Casting_Hub-Flatline
mb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,5,AI4Casting_Hub-Flatline
mb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,5,AI4Casting_Hub-Flatline
nb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,7,AI4Casting_Hub-Flatline
nb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,7,AI4Casting_Hub-Flatline
nb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,7,AI4Casting_Hub-Flatline
nb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,7,AI4Casting_Hub-Flatline
nb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,8,AI4Casting_Hub-Flatline
nb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,8,AI4Casting_Hub-Flatline
nb,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,8,AI4Casting_Hub-Flatline
nl,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,8,AI4Casting_Hub-Flatline
nl,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,8,AI4Casting_Hub-Flatline
nl,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,8,AI4Casting_Hub-Flatline
nl,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,8,AI4Casting_Hub-Flatline
nl,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,9,AI4Casting_Hub-Flatline
nl,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,9,AI4Casting_Hub-Flatline
nl,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,9,AI4Casting_Hub-Flatline
ns,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,6,AI4Casting_Hub-Flatline
ns,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.1,6,AI4Casting_Hub-Flatline
ns,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.25,6,AI4Casting_Hub-Flatline
ns,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.5,6,AI4Casting_Hub-Flatline
ns,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.75,7,AI4Casting_Hub-Flatline
ns,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.9,7,AI4Casting_Hub-Flatline
ns,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.975,7,AI4Casting_Hub-Flatline
nt,0,2025-11-22,2025-11-22,pct wk covid lab det,quantile,0.025,0,AI4Casting_Hub-Flatline
