time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive,sarscov2_pct_positive,Season
2020-08-22,territory,yt,0,0,NA,2019-2020
2020-01-04,region,prairies,4.7,31.6,NA,2019-2020
2020-01-04,region,territories,0,8.5,NA,2019-2020
2019-10-19,region,prairies,0.2,2,NA,2019-2020
2020-05-09,region,territories,0.7,1.2,NA,2019-2020
2019-09-07,province,qc,0.2,1.1,NA,2019-2020
2020-01-11,nation,ca,8.6,25.2,NA,2019-2020
2020-07-18,province,on,0,0.65,NA,2019-2020
2020-06-20,province,on,0.48,0,NA,2019-2020
2020-03-21,region,prairies,2.1,6.8,NA,2019-2020
2020-01-11,province,bc,9.9,20.5,NA,2019-2020
2020-07-18,province,qc,0,0,NA,2019-2020
2019-10-19,region,atlantic,0,1.1,NA,2019-2020
2020-05-16,nation,ca,0.1,0.2,NA,2019-2020
2020-01-11,province,on,7.8,23.6,NA,2019-2020
2020-07-18,region,atlantic,0,0,NA,2019-2020
2020-03-21,region,atlantic,4.5,11.8,NA,2019-2020
2020-01-11,province,qc,8.6,27.3,NA,2019-2020
2019-10-19,province,qc,1.2,2.8,NA,2019-2020
2019-09-21,province,qc,0.9,0.5,NA,2019-2020
2020-01-11,region,atlantic,19.3,14.5,NA,2019-2020
2020-01-11,region,prairies,4.7,28.7,NA,2019-2020
2020-05-16,province,bc,0,0,NA,2019-2020
2020-04-18,region,prairies,0.2,0,NA,2019-2020
2020-03-21,province,qc,6.8,11.5,NA,2019-2020
2019-09-07,province,on,1.2,1.6,NA,2019-2020
2019-10-19,province,on,1.1,0.3,NA,2019-2020
2020-01-11,region,territories,0.9,9.6,NA,2019-2020
2020-05-16,province,on,0.3,1.5,NA,2019-2020
2020-07-18,region,prairies,0.03,0,NA,2019-2020
2020-01-18,nation,ca,8.6,26.5,NA,2019-2020
2020-03-21,region,territories,0.7,5.3,NA,2019-2020
2020-05-09,region,prairies,0.2,0,NA,2019-2020
2019-10-19,province,bc,1.3,2.8,NA,2019-2020
2019-10-19,region,territories,0,1.1,NA,2019-2020
2020-05-09,province,bc,0.4,0.1,NA,2019-2020
2020-07-11,region,prairies,0,0,NA,2019-2020
