"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"ab",2026-01-10,"0.025",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"ab",2026-01-10,"0.1",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"ab",2026-01-10,"0.25",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"ab",2026-01-10,"0.5",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"ab",2026-01-10,"0.75",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"ab",2026-01-10,"0.9",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"ab",2026-01-10,"0.975",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"atlantic",2026-01-10,"0.025",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"atlantic",2026-01-10,"0.1",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"atlantic",2026-01-10,"0.25",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"atlantic",2026-01-10,"0.5",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"atlantic",2026-01-10,"0.75",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"atlantic",2026-01-10,"0.9",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"atlantic",2026-01-10,"0.975",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"bc",2026-01-10,"0.025",2,2026-01-10,"pct wk covid lab det",0,"quantile"
"bc",2026-01-10,"0.1",2,2026-01-10,"pct wk covid lab det",0,"quantile"
"bc",2026-01-10,"0.25",2,2026-01-10,"pct wk covid lab det",0,"quantile"
"bc",2026-01-10,"0.5",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"bc",2026-01-10,"0.75",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"bc",2026-01-10,"0.9",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"bc",2026-01-10,"0.975",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"ca",2026-01-10,"0.025",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"ca",2026-01-10,"0.1",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"ca",2026-01-10,"0.25",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"ca",2026-01-10,"0.5",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"ca",2026-01-10,"0.75",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"ca",2026-01-10,"0.9",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"ca",2026-01-10,"0.975",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"mb",2026-01-10,"0.025",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"mb",2026-01-10,"0.1",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"mb",2026-01-10,"0.25",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"mb",2026-01-10,"0.5",4,2026-01-10,"pct wk covid lab det",0,"quantile"
"mb",2026-01-10,"0.75",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"mb",2026-01-10,"0.9",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"mb",2026-01-10,"0.975",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"nb",2026-01-10,"0.025",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"nb",2026-01-10,"0.1",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"nb",2026-01-10,"0.25",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"nb",2026-01-10,"0.5",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"nb",2026-01-10,"0.75",9,2026-01-10,"pct wk covid lab det",0,"quantile"
"nb",2026-01-10,"0.9",9,2026-01-10,"pct wk covid lab det",0,"quantile"
"nb",2026-01-10,"0.975",9,2026-01-10,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.025",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.1",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.25",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.5",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.75",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.9",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"nl",2026-01-10,"0.975",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"ns",2026-01-10,"0.025",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"ns",2026-01-10,"0.1",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"ns",2026-01-10,"0.25",8,2026-01-10,"pct wk covid lab det",0,"quantile"
"ns",2026-01-10,"0.5",9,2026-01-10,"pct wk covid lab det",0,"quantile"
"ns",2026-01-10,"0.75",9,2026-01-10,"pct wk covid lab det",0,"quantile"
"ns",2026-01-10,"0.9",9,2026-01-10,"pct wk covid lab det",0,"quantile"
"ns",2026-01-10,"0.975",9,2026-01-10,"pct wk covid lab det",0,"quantile"
"nt",2026-01-10,"0.025",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"nt",2026-01-10,"0.1",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"nt",2026-01-10,"0.25",6,2026-01-10,"pct wk covid lab det",0,"quantile"
"nt",2026-01-10,"0.5",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"nt",2026-01-10,"0.75",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"nt",2026-01-10,"0.9",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"nt",2026-01-10,"0.975",7,2026-01-10,"pct wk covid lab det",0,"quantile"
"nu",2026-01-10,"0.025",2,2026-01-10,"pct wk covid lab det",0,"quantile"
"nu",2026-01-10,"0.1",2,2026-01-10,"pct wk covid lab det",0,"quantile"
"nu",2026-01-10,"0.25",2,2026-01-10,"pct wk covid lab det",0,"quantile"
"nu",2026-01-10,"0.5",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"nu",2026-01-10,"0.75",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"nu",2026-01-10,"0.9",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"nu",2026-01-10,"0.975",3,2026-01-10,"pct wk covid lab det",0,"quantile"
"on",2026-01-10,"0.025",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"on",2026-01-10,"0.1",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"on",2026-01-10,"0.25",5,2026-01-10,"pct wk covid lab det",0,"quantile"
"on",2026-01-10,"0.5",5,2026-01-10,"pct wk covid lab det",0,"quantile"
