"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"ab",2025-12-13,"0.025",2,2025-12-13,"pct wk covid lab det",0,"quantile"
"ab",2025-12-13,"0.1",3,2025-12-13,"pct wk covid lab det",0,"quantile"
"ab",2025-12-13,"0.25",4,2025-12-13,"pct wk covid lab det",0,"quantile"
"ab",2025-12-13,"0.5",5,2025-12-13,"pct wk covid lab det",0,"quantile"
"ab",2025-12-13,"0.75",6,2025-12-13,"pct wk covid lab det",0,"quantile"
"ab",2025-12-13,"0.9",7,2025-12-13,"pct wk covid lab det",0,"quantile"
"ab",2025-12-13,"0.975",7,2025-12-13,"pct wk covid lab det",0,"quantile"
"ab",2025-12-20,"0.025",1,2025-12-13,"pct wk covid lab det",1,"quantile"
"ab",2025-12-20,"0.1",2,2025-12-13,"pct wk covid lab det",1,"quantile"
"ab",2025-12-20,"0.25",3,2025-12-13,"pct wk covid lab det",1,"quantile"
"ab",2025-12-20,"0.5",5,2025-12-13,"pct wk covid lab det",1,"quantile"
"ab",2025-12-20,"0.75",6,2025-12-13,"pct wk covid lab det",1,"quantile"
"ab",2025-12-20,"0.9",7,2025-12-13,"pct wk covid lab det",1,"quantile"
"ab",2025-12-20,"0.975",8,2025-12-13,"pct wk covid lab det",1,"quantile"
"ab",2025-12-27,"0.025",1,2025-12-13,"pct wk covid lab det",2,"quantile"
"ab",2025-12-27,"0.1",2,2025-12-13,"pct wk covid lab det",2,"quantile"
"ab",2025-12-27,"0.25",3,2025-12-13,"pct wk covid lab det",2,"quantile"
"ab",2025-12-27,"0.5",5,2025-12-13,"pct wk covid lab det",2,"quantile"
"ab",2025-12-27,"0.75",6,2025-12-13,"pct wk covid lab det",2,"quantile"
"ab",2025-12-27,"0.9",7,2025-12-13,"pct wk covid lab det",2,"quantile"
"ab",2025-12-27,"0.975",9,2025-12-13,"pct wk covid lab det",2,"quantile"
"ab",2026-01-03,"0.025",0,2025-12-13,"pct wk covid lab det",3,"quantile"
"ab",2026-01-03,"0.1",2,2025-12-13,"pct wk covid lab det",3,"quantile"
"ab",2026-01-03,"0.25",3,2025-12-13,"pct wk covid lab det",3,"quantile"
"ab",2026-01-03,"0.5",5,2025-12-13,"pct wk covid lab det",3,"quantile"
"ab",2026-01-03,"0.75",6,2025-12-13,"pct wk covid lab det",3,"quantile"
"ab",2026-01-03,"0.9",8,2025-12-13,"pct wk covid lab det",3,"quantile"
"ab",2026-01-03,"0.975",9,2025-12-13,"pct wk covid lab det",3,"quantile"
"atlantic",2025-12-13,"0.025",1,2025-12-13,"pct wk covid lab det",0,"quantile"
"atlantic",2025-12-13,"0.1",3,2025-12-13,"pct wk covid lab det",0,"quantile"
"atlantic",2025-12-13,"0.25",4,2025-12-13,"pct wk covid lab det",0,"quantile"
"atlantic",2025-12-13,"0.5",5,2025-12-13,"pct wk covid lab det",0,"quantile"
"atlantic",2025-12-13,"0.75",7,2025-12-13,"pct wk covid lab det",0,"quantile"
"atlantic",2025-12-13,"0.9",8,2025-12-13,"pct wk covid lab det",0,"quantile"
"atlantic",2025-12-13,"0.975",9,2025-12-13,"pct wk covid lab det",0,"quantile"
"atlantic",2025-12-20,"0.025",0,2025-12-13,"pct wk covid lab det",1,"quantile"
"atlantic",2025-12-20,"0.1",2,2025-12-13,"pct wk covid lab det",1,"quantile"
"atlantic",2025-12-20,"0.25",4,2025-12-13,"pct wk covid lab det",1,"quantile"
"atlantic",2025-12-20,"0.5",5,2025-12-13,"pct wk covid lab det",1,"quantile"
"atlantic",2025-12-20,"0.75",7,2025-12-13,"pct wk covid lab det",1,"quantile"
"atlantic",2025-12-20,"0.9",9,2025-12-13,"pct wk covid lab det",1,"quantile"
"atlantic",2025-12-20,"0.975",11,2025-12-13,"pct wk covid lab det",1,"quantile"
"atlantic",2025-12-27,"0.025",0,2025-12-13,"pct wk covid lab det",2,"quantile"
"atlantic",2025-12-27,"0.1",2,2025-12-13,"pct wk covid lab det",2,"quantile"
"atlantic",2025-12-27,"0.25",3,2025-12-13,"pct wk covid lab det",2,"quantile"
"atlantic",2025-12-27,"0.5",5,2025-12-13,"pct wk covid lab det",2,"quantile"
"atlantic",2025-12-27,"0.75",8,2025-12-13,"pct wk covid lab det",2,"quantile"
"atlantic",2025-12-27,"0.9",9,2025-12-13,"pct wk covid lab det",2,"quantile"
"atlantic",2025-12-27,"0.975",12,2025-12-13,"pct wk covid lab det",2,"quantile"
"atlantic",2026-01-03,"0.025",0,2025-12-13,"pct wk covid lab det",3,"quantile"
"atlantic",2026-01-03,"0.1",1,2025-12-13,"pct wk covid lab det",3,"quantile"
"atlantic",2026-01-03,"0.25",3,2025-12-13,"pct wk covid lab det",3,"quantile"
"atlantic",2026-01-03,"0.5",5,2025-12-13,"pct wk covid lab det",3,"quantile"
"atlantic",2026-01-03,"0.75",8,2025-12-13,"pct wk covid lab det",3,"quantile"
"atlantic",2026-01-03,"0.9",10,2025-12-13,"pct wk covid lab det",3,"quantile"
"atlantic",2026-01-03,"0.975",12,2025-12-13,"pct wk covid lab det",3,"quantile"
"bc",2025-12-13,"0.025",0,2025-12-13,"pct wk covid lab det",0,"quantile"
"bc",2025-12-13,"0.1",1,2025-12-13,"pct wk covid lab det",0,"quantile"
"bc",2025-12-13,"0.25",2,2025-12-13,"pct wk covid lab det",0,"quantile"
"bc",2025-12-13,"0.5",4,2025-12-13,"pct wk covid lab det",0,"quantile"
"bc",2025-12-13,"0.75",5,2025-12-13,"pct wk covid lab det",0,"quantile"
"bc",2025-12-13,"0.9",6,2025-12-13,"pct wk covid lab det",0,"quantile"
"bc",2025-12-13,"0.975",7,2025-12-13,"pct wk covid lab det",0,"quantile"
"bc",2025-12-20,"0.025",0,2025-12-13,"pct wk covid lab det",1,"quantile"
"bc",2025-12-20,"0.1",1,2025-12-13,"pct wk covid lab det",1,"quantile"
"bc",2025-12-20,"0.25",2,2025-12-13,"pct wk covid lab det",1,"quantile"
"bc",2025-12-20,"0.5",4,2025-12-13,"pct wk covid lab det",1,"quantile"
"bc",2025-12-20,"0.75",6,2025-12-13,"pct wk covid lab det",1,"quantile"
"bc",2025-12-20,"0.9",7,2025-12-13,"pct wk covid lab det",1,"quantile"
"bc",2025-12-20,"0.975",8,2025-12-13,"pct wk covid lab det",1,"quantile"
"bc",2025-12-27,"0.025",0,2025-12-13,"pct wk covid lab det",2,"quantile"
"bc",2025-12-27,"0.1",0,2025-12-13,"pct wk covid lab det",2,"quantile"
"bc",2025-12-27,"0.25",2,2025-12-13,"pct wk covid lab det",2,"quantile"
"bc",2025-12-27,"0.5",4,2025-12-13,"pct wk covid lab det",2,"quantile"
"bc",2025-12-27,"0.75",6,2025-12-13,"pct wk covid lab det",2,"quantile"
"bc",2025-12-27,"0.9",8,2025-12-13,"pct wk covid lab det",2,"quantile"
"bc",2025-12-27,"0.975",9,2025-12-13,"pct wk covid lab det",2,"quantile"
"bc",2026-01-03,"0.025",0,2025-12-13,"pct wk covid lab det",3,"quantile"
"bc",2026-01-03,"0.1",0,2025-12-13,"pct wk covid lab det",3,"quantile"
"bc",2026-01-03,"0.25",1,2025-12-13,"pct wk covid lab det",3,"quantile"
"bc",2026-01-03,"0.5",4,2025-12-13,"pct wk covid lab det",3,"quantile"
"bc",2026-01-03,"0.75",6,2025-12-13,"pct wk covid lab det",3,"quantile"
"bc",2026-01-03,"0.9",8,2025-12-13,"pct wk covid lab det",3,"quantile"
"bc",2026-01-03,"0.975",10,2025-12-13,"pct wk covid lab det",3,"quantile"
"ca",2025-12-13,"0.025",4,2025-12-13,"pct wk covid lab det",0,"quantile"
"ca",2025-12-13,"0.1",4,2025-12-13,"pct wk covid lab det",0,"quantile"
"ca",2025-12-13,"0.25",5,2025-12-13,"pct wk covid lab det",0,"quantile"
"ca",2025-12-13,"0.5",6,2025-12-13,"pct wk covid lab det",0,"quantile"
"ca",2025-12-13,"0.75",7,2025-12-13,"pct wk covid lab det",0,"quantile"
"ca",2025-12-13,"0.9",7,2025-12-13,"pct wk covid lab det",0,"quantile"
"ca",2025-12-13,"0.975",8,2025-12-13,"pct wk covid lab det",0,"quantile"
"ca",2025-12-20,"0.025",3,2025-12-13,"pct wk covid lab det",1,"quantile"
"ca",2025-12-20,"0.1",4,2025-12-13,"pct wk covid lab det",1,"quantile"
"ca",2025-12-20,"0.25",4,2025-12-13,"pct wk covid lab det",1,"quantile"
"ca",2025-12-20,"0.5",6,2025-12-13,"pct wk covid lab det",1,"quantile"
"ca",2025-12-20,"0.75",7,2025-12-13,"pct wk covid lab det",1,"quantile"
"ca",2025-12-20,"0.9",8,2025-12-13,"pct wk covid lab det",1,"quantile"
"ca",2025-12-20,"0.975",9,2025-12-13,"pct wk covid lab det",1,"quantile"
"ca",2025-12-27,"0.025",2,2025-12-13,"pct wk covid lab det",2,"quantile"
"ca",2025-12-27,"0.1",3,2025-12-13,"pct wk covid lab det",2,"quantile"
"ca",2025-12-27,"0.25",4,2025-12-13,"pct wk covid lab det",2,"quantile"
"ca",2025-12-27,"0.5",6,2025-12-13,"pct wk covid lab det",2,"quantile"
"ca",2025-12-27,"0.75",7,2025-12-13,"pct wk covid lab det",2,"quantile"
"ca",2025-12-27,"0.9",8,2025-12-13,"pct wk covid lab det",2,"quantile"
"ca",2025-12-27,"0.975",9,2025-12-13,"pct wk covid lab det",2,"quantile"
"ca",2026-01-03,"0.025",2,2025-12-13,"pct wk covid lab det",3,"quantile"
"ca",2026-01-03,"0.1",3,2025-12-13,"pct wk covid lab det",3,"quantile"
"ca",2026-01-03,"0.25",4,2025-12-13,"pct wk covid lab det",3,"quantile"
"ca",2026-01-03,"0.5",6,2025-12-13,"pct wk covid lab det",3,"quantile"
"ca",2026-01-03,"0.75",7,2025-12-13,"pct wk covid lab det",3,"quantile"
"ca",2026-01-03,"0.9",8,2025-12-13,"pct wk covid lab det",3,"quantile"
"ca",2026-01-03,"0.975",10,2025-12-13,"pct wk covid lab det",3,"quantile"
"mb",2025-12-13,"0.025",0,2025-12-13,"pct wk covid lab det",0,"quantile"
