reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2025-12-13,2025-12-06,-1,ab,pct wk covid lab det,quantile,0.025,2.6
2025-12-13,2025-12-06,-1,ab,pct wk covid lab det,quantile,0.1,3.3
2025-12-13,2025-12-06,-1,ab,pct wk covid lab det,quantile,0.25,4
2025-12-13,2025-12-06,-1,ab,pct wk covid lab det,quantile,0.5,4.7
2025-12-13,2025-12-06,-1,ab,pct wk covid lab det,quantile,0.75,5.4
2025-12-13,2025-12-06,-1,ab,pct wk covid lab det,quantile,0.9,6
2025-12-13,2025-12-06,-1,ab,pct wk covid lab det,quantile,0.975,6.8
2025-12-13,2025-12-13,0,ab,pct wk covid lab det,quantile,0.025,2.5
2025-12-13,2025-12-13,0,ab,pct wk covid lab det,quantile,0.1,3.1
2025-12-13,2025-12-13,0,ab,pct wk covid lab det,quantile,0.25,3.6
2025-12-13,2025-12-13,0,ab,pct wk covid lab det,quantile,0.5,4
2025-12-13,2025-12-13,0,ab,pct wk covid lab det,quantile,0.75,4.6
2025-12-13,2025-12-13,0,ab,pct wk covid lab det,quantile,0.9,5
2025-12-13,2025-12-13,0,ab,pct wk covid lab det,quantile,0.975,5.6
2025-12-13,2025-12-20,1,ab,pct wk covid lab det,quantile,0.025,2.2
2025-12-13,2025-12-20,1,ab,pct wk covid lab det,quantile,0.1,2.7
2025-12-13,2025-12-20,1,ab,pct wk covid lab det,quantile,0.25,3.2
2025-12-13,2025-12-20,1,ab,pct wk covid lab det,quantile,0.5,3.6
2025-12-13,2025-12-20,1,ab,pct wk covid lab det,quantile,0.75,4.2
2025-12-13,2025-12-20,1,ab,pct wk covid lab det,quantile,0.9,4.7
2025-12-13,2025-12-20,1,ab,pct wk covid lab det,quantile,0.975,5.2
2025-12-13,2025-12-27,2,ab,pct wk covid lab det,quantile,0.025,2.1
2025-12-13,2025-12-27,2,ab,pct wk covid lab det,quantile,0.1,2.6
2025-12-13,2025-12-27,2,ab,pct wk covid lab det,quantile,0.25,3.1
2025-12-13,2025-12-27,2,ab,pct wk covid lab det,quantile,0.5,3.6
2025-12-13,2025-12-27,2,ab,pct wk covid lab det,quantile,0.75,4.1
2025-12-13,2025-12-27,2,ab,pct wk covid lab det,quantile,0.9,4.5
2025-12-13,2025-12-27,2,ab,pct wk covid lab det,quantile,0.975,5.3
2025-12-13,2026-01-03,3,ab,pct wk covid lab det,quantile,0.025,1.6
2025-12-13,2026-01-03,3,ab,pct wk covid lab det,quantile,0.1,2.2
2025-12-13,2026-01-03,3,ab,pct wk covid lab det,quantile,0.25,2.5
2025-12-13,2026-01-03,3,ab,pct wk covid lab det,quantile,0.5,3
2025-12-13,2026-01-03,3,ab,pct wk covid lab det,quantile,0.75,3.5
2025-12-13,2026-01-03,3,ab,pct wk covid lab det,quantile,0.9,4
2025-12-13,2026-01-03,3,ab,pct wk covid lab det,quantile,0.975,4.5
2025-12-13,2025-12-06,-1,ns,pct wk covid lab det,quantile,0.025,0.2
