reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,ca,quantile,0.025,3
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,ca,quantile,0.1,4
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,ca,quantile,0.25,4
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,ca,quantile,0.5,5
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,ca,quantile,0.75,6
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,ca,quantile,0.9,6
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,ca,quantile,0.975,7
2025-12-20,pct positive sars-cov-2,0,2025-12-20,ca,quantile,0.025,3
2025-12-20,pct positive sars-cov-2,0,2025-12-20,ca,quantile,0.1,4
2025-12-20,pct positive sars-cov-2,0,2025-12-20,ca,quantile,0.25,4
2025-12-20,pct positive sars-cov-2,0,2025-12-20,ca,quantile,0.5,5
2025-12-20,pct positive sars-cov-2,0,2025-12-20,ca,quantile,0.75,5
2025-12-20,pct positive sars-cov-2,0,2025-12-20,ca,quantile,0.9,6
2025-12-20,pct positive sars-cov-2,0,2025-12-20,ca,quantile,0.975,7
2025-12-20,pct positive sars-cov-2,1,2025-12-27,ca,quantile,0.025,3
2025-12-20,pct positive sars-cov-2,1,2025-12-27,ca,quantile,0.1,3
2025-12-20,pct positive sars-cov-2,1,2025-12-27,ca,quantile,0.25,4
2025-12-20,pct positive sars-cov-2,1,2025-12-27,ca,quantile,0.5,5
2025-12-20,pct positive sars-cov-2,1,2025-12-27,ca,quantile,0.75,5
2025-12-20,pct positive sars-cov-2,1,2025-12-27,ca,quantile,0.9,6
2025-12-20,pct positive sars-cov-2,1,2025-12-27,ca,quantile,0.975,7
2025-12-20,pct positive sars-cov-2,2,2026-01-03,ca,quantile,0.025,3
2025-12-20,pct positive sars-cov-2,2,2026-01-03,ca,quantile,0.1,3
2025-12-20,pct positive sars-cov-2,2,2026-01-03,ca,quantile,0.25,4
2025-12-20,pct positive sars-cov-2,2,2026-01-03,ca,quantile,0.5,5
2025-12-20,pct positive sars-cov-2,2,2026-01-03,ca,quantile,0.75,5
2025-12-20,pct positive sars-cov-2,2,2026-01-03,ca,quantile,0.9,6
2025-12-20,pct positive sars-cov-2,2,2026-01-03,ca,quantile,0.975,7
2025-12-20,pct positive sars-cov-2,3,2026-01-10,ca,quantile,0.025,3
2025-12-20,pct positive sars-cov-2,3,2026-01-10,ca,quantile,0.1,3
2025-12-20,pct positive sars-cov-2,3,2026-01-10,ca,quantile,0.25,4
2025-12-20,pct positive sars-cov-2,3,2026-01-10,ca,quantile,0.5,5
2025-12-20,pct positive sars-cov-2,3,2026-01-10,ca,quantile,0.75,5
2025-12-20,pct positive sars-cov-2,3,2026-01-10,ca,quantile,0.9,6
2025-12-20,pct positive sars-cov-2,3,2026-01-10,ca,quantile,0.975,7
2025-12-20,pct positive sars-cov-2,-1,2025-12-13,on,quantile,0.025,2
