reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-01-10,pct wk covid lab det,-1,ab,2026-01-03,quantile,0.025,0
2026-01-10,pct wk covid lab det,-1,ab,2026-01-03,quantile,0.1,0
2026-01-10,pct wk covid lab det,-1,ab,2026-01-03,quantile,0.25,1
2026-01-10,pct wk covid lab det,-1,ab,2026-01-03,quantile,0.5,4
2026-01-10,pct wk covid lab det,-1,ab,2026-01-03,quantile,0.75,6
2026-01-10,pct wk covid lab det,-1,ab,2026-01-03,quantile,0.9,7
2026-01-10,pct wk covid lab det,-1,ab,2026-01-03,quantile,0.975,8
2026-01-10,pct wk covid lab det,0,ab,2026-01-10,quantile,0.025,0
2026-01-10,pct wk covid lab det,0,ab,2026-01-10,quantile,0.1,0
2026-01-10,pct wk covid lab det,0,ab,2026-01-10,quantile,0.25,1
2026-01-10,pct wk covid lab det,0,ab,2026-01-10,quantile,0.5,3
2026-01-10,pct wk covid lab det,0,ab,2026-01-10,quantile,0.75,6
2026-01-10,pct wk covid lab det,0,ab,2026-01-10,quantile,0.9,7
2026-01-10,pct wk covid lab det,0,ab,2026-01-10,quantile,0.975,7
2026-01-10,pct wk covid lab det,1,ab,2026-01-17,quantile,0.025,0
2026-01-10,pct wk covid lab det,1,ab,2026-01-17,quantile,0.1,0
2026-01-10,pct wk covid lab det,1,ab,2026-01-17,quantile,0.25,1
2026-01-10,pct wk covid lab det,1,ab,2026-01-17,quantile,0.5,3
2026-01-10,pct wk covid lab det,1,ab,2026-01-17,quantile,0.75,5
2026-01-10,pct wk covid lab det,1,ab,2026-01-17,quantile,0.9,6
2026-01-10,pct wk covid lab det,1,ab,2026-01-17,quantile,0.975,7
2026-01-10,pct wk covid lab det,2,ab,2026-01-24,quantile,0.025,0
2026-01-10,pct wk covid lab det,2,ab,2026-01-24,quantile,0.1,0
2026-01-10,pct wk covid lab det,2,ab,2026-01-24,quantile,0.25,1
2026-01-10,pct wk covid lab det,2,ab,2026-01-24,quantile,0.5,3
2026-01-10,pct wk covid lab det,2,ab,2026-01-24,quantile,0.75,4
2026-01-10,pct wk covid lab det,2,ab,2026-01-24,quantile,0.9,5
2026-01-10,pct wk covid lab det,2,ab,2026-01-24,quantile,0.975,6
2026-01-10,pct wk covid lab det,3,ab,2026-01-31,quantile,0.025,0
2026-01-10,pct wk covid lab det,3,ab,2026-01-31,quantile,0.1,0
2026-01-10,pct wk covid lab det,3,ab,2026-01-31,quantile,0.25,1
2026-01-10,pct wk covid lab det,3,ab,2026-01-31,quantile,0.5,2
2026-01-10,pct wk covid lab det,3,ab,2026-01-31,quantile,0.75,4
2026-01-10,pct wk covid lab det,3,ab,2026-01-31,quantile,0.9,4
2026-01-10,pct wk covid lab det,3,ab,2026-01-31,quantile,0.975,5
2026-01-10,pct wk flu lab det,-1,ab,2026-01-03,quantile,0.025,0
2026-01-10,pct wk flu lab det,-1,ab,2026-01-03,quantile,0.1,3
2026-01-10,pct wk flu lab det,-1,ab,2026-01-03,quantile,0.25,11
2026-01-10,pct wk flu lab det,-1,ab,2026-01-03,quantile,0.5,28
2026-01-10,pct wk flu lab det,-1,ab,2026-01-03,quantile,0.75,44
2026-01-10,pct wk flu lab det,-1,ab,2026-01-03,quantile,0.9,52
2026-01-10,pct wk flu lab det,-1,ab,2026-01-03,quantile,0.975,56
2026-01-10,pct wk flu lab det,0,ab,2026-01-10,quantile,0.025,0
2026-01-10,pct wk flu lab det,0,ab,2026-01-10,quantile,0.1,3
2026-01-10,pct wk flu lab det,0,ab,2026-01-10,quantile,0.25,10
2026-01-10,pct wk flu lab det,0,ab,2026-01-10,quantile,0.5,24
2026-01-10,pct wk flu lab det,0,ab,2026-01-10,quantile,0.75,39
2026-01-10,pct wk flu lab det,0,ab,2026-01-10,quantile,0.9,46
2026-01-10,pct wk flu lab det,0,ab,2026-01-10,quantile,0.975,49
2026-01-10,pct wk flu lab det,1,ab,2026-01-17,quantile,0.025,0
2026-01-10,pct wk flu lab det,1,ab,2026-01-17,quantile,0.1,2
2026-01-10,pct wk flu lab det,1,ab,2026-01-17,quantile,0.25,9
2026-01-10,pct wk flu lab det,1,ab,2026-01-17,quantile,0.5,22
2026-01-10,pct wk flu lab det,1,ab,2026-01-17,quantile,0.75,36
2026-01-10,pct wk flu lab det,1,ab,2026-01-17,quantile,0.9,43
2026-01-10,pct wk flu lab det,1,ab,2026-01-17,quantile,0.975,45
2026-01-10,pct wk flu lab det,2,ab,2026-01-24,quantile,0.025,0
2026-01-10,pct wk flu lab det,2,ab,2026-01-24,quantile,0.1,2
2026-01-10,pct wk flu lab det,2,ab,2026-01-24,quantile,0.25,9
2026-01-10,pct wk flu lab det,2,ab,2026-01-24,quantile,0.5,22
2026-01-10,pct wk flu lab det,2,ab,2026-01-24,quantile,0.75,35
2026-01-10,pct wk flu lab det,2,ab,2026-01-24,quantile,0.9,42
2026-01-10,pct wk flu lab det,2,ab,2026-01-24,quantile,0.975,44
2026-01-10,pct wk flu lab det,3,ab,2026-01-31,quantile,0.025,0
2026-01-10,pct wk flu lab det,3,ab,2026-01-31,quantile,0.1,2
2026-01-10,pct wk flu lab det,3,ab,2026-01-31,quantile,0.25,8
2026-01-10,pct wk flu lab det,3,ab,2026-01-31,quantile,0.5,21
2026-01-10,pct wk flu lab det,3,ab,2026-01-31,quantile,0.75,34
2026-01-10,pct wk flu lab det,3,ab,2026-01-31,quantile,0.9,40
2026-01-10,pct wk flu lab det,3,ab,2026-01-31,quantile,0.975,43
2026-01-10,pct wk rsv lab det,-1,ab,2026-01-03,quantile,0.025,0
2026-01-10,pct wk rsv lab det,-1,ab,2026-01-03,quantile,0.1,0
2026-01-10,pct wk rsv lab det,-1,ab,2026-01-03,quantile,0.25,1
2026-01-10,pct wk rsv lab det,-1,ab,2026-01-03,quantile,0.5,4
2026-01-10,pct wk rsv lab det,-1,ab,2026-01-03,quantile,0.75,6
2026-01-10,pct wk rsv lab det,-1,ab,2026-01-03,quantile,0.9,7
